"Story","Title","Result","Date","Stability","Duration (s)"
"Contact Function","Confirm user can close send message dialog when clicking on the close button.","SUCCESS","2023-05-24T20:41:51.768+07:00[Asia/Bangkok]","0.0","5.06"
"Login Function","Confirm user can close login screen when clicking on the close button.","SUCCESS","2023-05-24T20:45:38.161+07:00[Asia/Bangkok]","0.0","4.01"
"Sign up Function","Confirm user can close sign up dialog when clicking on the close button.","SUCCESS","2023-05-24T20:47:10.893+07:00[Asia/Bangkok]","0.0","3.92"
